HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
1,0,11,1,2,1,0
0,2,2,1,1,4,6
5,3,0,7,2,2,8
13,6,1,4,5,2,2
2,25,5,2,1,1,0
1,2,2,2,2,0,2
2,3,0,1,1,3,4
4,13,1,1,0,2,9
13,8,4,2,0,1,1
3,2,11,2,0,0,2
1,2,7,1,1,2,2
0,2,1,1,5,14,2
4,10,8,1,1,5,10
10,3,1,4,2,0,1
3,0,6,0,1,5,0
0,0,21,1,1,0,0
2,0,4,1,2,2,2
5,9,12,1,2,2,11
9,4,2,5,1,0,3
3,3,2,1,0,2,0
2,1,2,0,0,2,2
0,2,0,1,6,4,1
1,7,17,1,2,3,11
11,14,5,7,3,1,2
5,2,11,5,3,1,2
2,3,1,3,1,0,2
1,1,6,2,6,1,2
2,4,1,0,4,5,10
13,8,5,8,1,10,2
5,8,10,6,1,1,1
0,2,1,1,0,0,1
1,2,1,1,0,1,1
1,6,0,1,4,2,9
4,9,13,2,1,4,5
7,5,6,3,3,3,1
4,2,2,1,1,1,0
2,0,2,1,0,1,2
1,2,0,0,8,9,9
11,9,3,1,2,17,9
4,12,15,5,1,5,3
1,1,5,2,0,1,0
1,2,2,2,1,1,0
2,21,1,1,3,1,5
4,11,9,0,2,2,12
8,6,8,1,3,3,2
2,2,2,1,2,3,1
1,1,1,0,3,0,1
1,15,2,0,7,5,4
1,10,4,1,6,2,15
10,1,8,2,2,3,3
3,0,3,9,0,1,0
2,0,1,2,0,0,1
1,1,8,1,1,7,5
2,4,4,2,1,3,11
11,4,2,2,2,2,3
2,2,37,5,2,2,2
2,0,4,1,1,4,2
6,1,2,1,0,2,5
2,9,2,0,2,0,14
2,3,7,2,1,5,3
3,2,4,4,0,4,2
3,1,1,4,1,2,1
1,1,5,3,2,2,1
2,10,2,1,0,0,9
5,4,17,0,2,2,3
3,1,1,1,1,4,2
0,1,1,6,2,6,0
3,0,0,1,2,3,2
2,11,1,2,0,0,11
5,10,7,1,4,2,2
11,2,7,1,1,9,2
2,0,2,7,1,3,0
1,0,1,3,2,2,3
1,26,1,1,2,0,14
6,2,1,1,2,1,2
9,6,6,0,1,4,1
2,0,3,4,0,3,1
0,2,40,10,1,0,2
1,16,3,1,3,0,10
5,1,5,1,1,2,4
9,0,6,2,4,3,1
2,0,2,3,1,2,1
0,12,2,7,1,8,2
1,7,47,1,0,1,11
1,1,3,2,2,0,4
8,2,34,2,0,3,1
9,0,4,1,2,4,1
3,2,2,4,1,0,1
2,16,58,1,0,1,10
0,3,24,2,0,0,3
5,1,14,0,1,13,1
14,2,3,0,3,8,1
3,5,1,4,1,2,0
2,9,4,4,0,1,10
2,2,15,0,2,1,4
10,1,3,1,1,1,1
6,0,2,1,3,7,0
1,2,2,3,4,1,0
1,7,1,8,1,0,7
0,5,9,2,2,2,4
5,2,4,0,0,0,1
8,1,2,0,0,8,0
2,0,1,1,1,3,0
1,4,2,6,1,4,7
2,21,14,2,0,2,7
2,5,6,0,1,0,2
10,1,1,2,3,2,1
2,0,1,2,8,1,0
1,12,1,5,4,2,4
2,6,8,3,2,3,9
4,2,6,2,0,7,4
8,0,0,0,2,1,1
1,1,2,1,1,1,1
1,11,9,5,2,6,1
0,10,1,8,1,2,10
0,3,7,1,0,3,4
9,2,3,2,1,3,0
4,1,2,1,2,1,0
0,7,1,3,1,0,0
0,17,1,6,2,1,9
2,4,8,3,0,2,6
6,1,5,2,1,13,2
9,8,2,1,1,7,0
6,15,1,2,7,3,0
1,8,1,6,2,1,8
0,2,5,3,2,1,10
1,1,10,0,2,3,1
12,1,1,2,3,4,1
8,11,0,0,3,5,1
2,3,1,3,1,0,8
2,1,5,7,0,2,8
1,1,10,1,2,0,1
5,1,2,2,0,7,2
6,21,0,1,3,11,1
3,3,1,1,4,3,2
0,0,10,3,0,1,12
0,1,5,2,3,0,1
5,0,36,2,0,6,2
8,4,2,1,1,7,1
1,18,1,0,1,2,4
2,3,2,5,0,0,13
0,2,8,9,1,1,4
2,1,3,2,1,0,1
9,18,0,1,1,0,2
3,3,1,1,6,13,4
1,2,7,3,7,4,10
0,0,9,4,2,1,5
1,2,1,1,1,0,2
10,10,1,0,0,4,0
2,6,1,0,4,0,3
2,1,23,2,1,2,9
2,1,7,7,2,1,2
2,0,2,3,0,1,0
10,11,12,1,1,0,0
2,2,1,0,2,3,2
1,1,7,1,5,1,9
2,1,17,5,2,0,4
1,1,1,5,1,4,0
8,2,18,2,4,2,0
11,6,1,2,1,3,1
1,12,32,1,2,1,5
2,2,20,2,1,1,10
1,2,9,5,1,1,3
10,26,3,2,1,2,0
2,4,3,1,1,2,2
0,2,8,1,6,1,8
1,2,3,0,6,2,10
1,0,31,9,1,1,1
9,10,11,2,1,1,1
7,5,21,1,1,1,0
2,1,13,1,1,2,8
3,1,18,0,2,3,12
1,2,1,7,1,2,1
9,9,4,4,1,1,1
12,6,16,1,1,1,1
2,2,5,1,1,1,5
2,2,1,2,8,2,7
1,0,2,5,6,2,2
8,8,3,6,3,1,0
3,29,10,3,1,0,1
2,9,1,1,1,1,3
1,1,1,2,2,8,9
1,1,0,2,1,2,5
5,1,7,4,0,1,2
9,6,20,1,0,1,1
1,8,2,1,0,0,2
0,2,2,2,1,1,6
1,0,1,1,2,5,8
5,2,1,4,6,0,3
10,12,4,3,3,2,1
6,1,2,1,3,12,0
0,0,2,0,1,3,5
2,1,2,1,2,9,12
2,1,1,0,4,3,3
11,18,4,6,2,2,1
3,4,8,2,2,0,0
1,1,1,2,3,4,6
1,1,2,2,4,3,12
1,8,1,1,10,1,0
8,19,5,3,2,3,1
3,2,15,1,0,13,0
1,1,3,0,2,3,5
1,1,2,2,2,3,9
2,2,9,1,3,5,2
13,8,4,4,0,2,2
5,3,13,6,1,1,1
3,9,4,1,0,1,0
1,2,2,1,2,2,12
2,1,12,0,3,2,3
11,5,1,3,1,1,0
7,13,14,4,1,0,2
1,1,2,2,1,1,2
2,20,2,1,1,2,11
0,10,1,1,2,1,4
7,14,13,1,3,1,1
8,2,3,3,2,1,2
1,4,5,3,0,0,2
1,1,8,2,1,1,10
1,1,3,2,2,1,3
8,5,27,1,1,2,0
12,15,3,0,2,3,2
4,2,5,8,2,9,2
2,3,6,0,2,4,8
2,5,1,1,3,2,6
0,12,5,1,1,1,1
3,2,5,5,0,0,1
4,0,3,6,0,2,0
0,2,2,2,0,0,11
1,8,0,1,3,8,7
1,12,4,0,0,4,1
10,2,11,0,0,1,2
1,0,26,7,1,1,0
2,2,15,2,0,2,7
1,4,2,1,0,11,4
0,5,4,0,2,1,2
12,10,3,1,2,1,1
3,0,1,1,1,0,2
2,0,1,3,0,1,5
1,3,8,2,2,1,10
5,16,5,1,0,0,2
9,2,2,1,1,1,2
2,1,2,3,1,1,1
1,2,6,6,2,1,4
0,2,1,3,1,1,9
0,12,2,0,1,5,2
9,6,12,1,6,3,2
8,2,3,0,3,2,0
1,0,2,7,1,2,3
1,12,0,2,1,1,10
1,9,1,2,1,17,3
2,3,8,1,3,5,0
9,2,12,1,2,2,0
1,0,7,3,4,2,2
0,4,1,6,2,0,8
1,15,4,1,0,9,4
2,2,10,0,0,1,1
9,2,16,0,4,2,2
9,1,4,1,5,1,1
2,4,1,4,1,0,9
0,23,16,1,1,7,8
0,4,3,1,1,12,2
4,0,1,2,1,2,2
12,1,0,2,3,1,1
2,9,2,5,1,1,4
2,12,8,3,1,7,10
1,3,7,2,1,2,1
10,1,1,1,4,1,2
11,1,0,0,2,8,2
2,4,2,4,2,1,5
0,7,5,6,1,1,9
1,2,10,1,1,2,2
10,1,0,1,0,12,2
3,2,2,2,1,2,2
2,3,2,1,0,1,3
1,16,7,6,1,7,11
2,3,7,2,2,1,0
10,1,1,1,1,1,2
4,1,1,0,4,2,1
1,0,11,0,1,2,4
1,12,2,6,2,7,10
1,3,5,6,0,4,4
7,2,16,1,1,2,0
1,1,2,2,2,2,0
3,2,2,1,8,1,3
1,8,3,4,1,1,12
1,4,7,3,0,2,2
4,1,1,1,1,6,1
6,2,0,1,1,1,1
2,3,2,1,1,1,3
2,3,2,2,6,2,10
1,10,5,3,2,2,2
1,5,2,2,2,1,1
12,1,0,1,2,6,0
1,2,2,1,1,2,2
0,9,0,1,5,1,10
1,8,10,6,1,1,3
4,10,4,1,0,0,0
17,1,1,1,1,1,1
3,1,1,0,0,3,2
0,24,2,2,1,1,11
2,8,11,3,2,0,2
5,1,6,4,2,8,2
10,1,11,2,2,4,1
2,0,2,0,2,1,2
1,10,9,0,1,2,11
