HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
5,0,14,2,1,3,1
3,18,1,1,0,1,16
1,5,1,1,2,0,18
3,4,4,1,29,2,3
2,1,8,0,5,2,1
4,1,1,5,2,5,2
13,3,2,6,2,1,13
2,1,0,0,2,1,4
2,4,0,2,21,1,1
1,6,9,2,17,2,8
2,3,5,14,2,4,5
7,2,1,6,1,9,8
2,5,1,0,4,1,1
1,2,2,1,30,1,1
0,1,4,1,18,2,1
6,2,12,1,3,2,1
21,15,8,1,2,4,9
6,30,2,0,4,2,15
2,5,1,2,24,2,4
0,21,1,5,4,2,2
0,2,5,16,0,1,3
6,2,12,3,0,6,9
6,23,2,3,13,2,4
2,7,1,1,13,1,1
0,9,2,0,3,1,2
1,3,4,4,1,1,1
9,2,5,22,1,4,7
9,9,2,3,1,5,4
1,3,1,2,20,3,1
1,2,7,2,4,2,2
2,0,10,4,2,2,0
1,2,5,1,2,1,4
9,10,2,1,10,3,9
3,1,2,2,22,1,4
0,1,1,0,2,2,1
0,13,2,11,2,2,1
3,4,4,6,5,2,0
7,1,1,2,17,7,12
2,1,1,2,14,3,4
1,0,10,2,1,0,1
1,1,3,11,1,2,0
0,12,5,9,15,2,4
6,17,2,2,21,5,19
11,1,1,0,2,8,6
2,1,1,1,0,1,1
2,4,2,0,3,2,1
0,16,3,1,1,0,0
8,1,7,8,4,0,1
8,1,1,6,9,5,8
2,1,0,3,1,6,3
0,1,1,1,2,1,1
0,8,8,7,16,1,1
5,16,3,4,36,1,4
9,1,1,2,16,3,4
3,0,0,2,1,2,2
0,0,2,2,2,2,0
0,5,1,4,17,0,0
1,13,6,5,13,1,8
8,3,0,1,1,4,18
6,1,2,0,1,1,4
1,3,3,1,13,2,1
1,3,1,1,25,1,1
0,2,9,10,4,1,2
5,2,10,2,2,4,9
5,2,1,1,3,5,4
1,0,1,1,5,1,1
1,10,0,2,12,2,0
0,3,1,14,1,1,5
1,2,13,3,0,2,21
1,0,2,2,2,4,5
0,5,1,2,23,3,2
2,14,1,1,12,2,2
0,8,3,3,3,1,1
1,1,5,1,1,2,4
6,1,1,0,1,2,4
6,1,1,1,27,5,2
2,5,11,12,10,1,0
2,15,20,29,0,1,0
3,1,5,6,1,1,2
6,1,1,1,10,2,6
9,2,2,0,32,9,2
3,10,3,0,6,2,1
0,16,6,2,1,1,0
0,1,1,2,1,0,0
2,0,1,2,18,2,6
14,1,1,1,9,2,2
3,0,2,2,3,7,2
2,8,2,4,0,2,5
1,2,15,3,2,1,9
1,2,6,3,14,1,8
11,1,1,1,8,9,3
1,2,1,2,4,9,1
0,1,3,2,0,2,1
1,0,14,4,1,1,3
7,2,2,1,0,3,20
19,5,2,1,7,3,11
4,16,2,2,3,7,1
2,3,6,3,2,2,0
1,1,8,13,2,1,1
1,0,1,3,12,2,4
11,2,2,1,24,0,11
3,1,2,2,3,5,1
0,6,3,6,0,5,3
2,3,14,30,1,2,10
7,1,4,5,11,0,8
13,1,0,2,24,0,3
3,0,1,1,1,3,1
2,7,4,2,1,7,1
2,3,12,4,5,1,0
4,1,3,4,17,1,13
13,1,0,2,2,1,12
2,1,4,1,1,5,1
1,2,4,1,2,12,0
1,20,6,9,24,2,1
1,3,3,2,40,1,4
12,2,1,1,5,2,1
10,1,0,6,2,1,0
1,0,1,4,2,3,3
2,11,5,0,11,2,1
5,2,20,3,18,0,6
9,1,5,2,2,0,7
1,0,2,0,1,2,2
0,10,6,1,4,6,1
0,17,9,2,20,3,2
0,3,1,3,5,1,1
10,0,1,1,1,2,6
3,1,1,0,0,1,4
1,14,0,1,4,3,1
1,3,6,6,24,2,1
9,0,16,13,13,1,2
11,1,2,2,2,1,1
2,1,1,0,0,6,2
0,10,2,2,6,5,2
2,15,11,3,39,1,2
1,2,10,2,25,2,1
12,1,1,1,2,2,1
2,1,1,3,0,0,14
