HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
55,19,2,80,2,14,2
62,2,15,22,5,29,14
5,3,46,1,3,32,95
0,70,48,6,21,1,46
21,75,3,55,1,4,2
73,6,2,84,2,31,4
16,2,36,5,17,59,71
1,29,68,1,4,8,122
7,97,13,30,7,1,4
62,20,0,78,1,6,1
63,2,19,20,2,24,45
4,10,47,2,11,51,107
1,91,24,7,4,4,9
26,41,3,58,5,0,1
67,2,8,75,2,24,15
16,0,43,4,5,48,100
2,48,71,1,18,15,22
15,100,4,28,1,1,1
72,4,2,66,6,12,12
34,1,13,17,1,25,87
2,26,50,1,2,31,44
0,88,26,10,4,3,2
44,18,2,65,0,4,2
86,1,3,42,19,30,58
8,9,42,2,1,55,116
2,75,83,1,2,7,6
5,70,6,53,7,2,1
55,4,2,95,3,13,43
62,2,18,9,15,32,103
4,23,43,2,1,31,9
1,90,26,12,3,3,2
24,20,1,68,10,1,13
79,2,8,46,2,26,84
17,4,48,2,8,70,42
1,82,84,6,1,10,3
6,83,8,45,3,2,3
54,5,3,91,7,22,67
66,1,12,10,2,44,116
4,24,50,3,15,17,5
1,95,30,35,1,2,0
8,20,2,70,1,6,37
64,1,10,22,8,33,95
51,2,50,1,1,52,20
2,75,53,2,10,4,2
1,83,3,69,3,1,12
40,6,2,92,2,24,81
82,2,35,6,14,43,42
9,25,71,1,2,16,3
0,92,15,25,9,2,4
2,21,3,73,1,8,62
49,1,12,24,1,44,112
76,5,51,2,2,59,5
6,71,31,2,2,4,0
1,76,1,44,14,0,35
13,6,8,87,1,20,101
69,3,49,7,6,48,8
21,19,83,1,12,19,2
1,82,8,23,1,1,14
2,22,0,70,3,5,81
51,1,11,21,2,37,43
58,3,57,1,4,57,3
3,74,33,5,9,4,2
3,78,1,57,1,2,59
25,5,5,78,11,20,110
75,1,51,6,2,48,4
21,17,96,2,1,19,0
2,89,9,24,8,1,47
2,20,3,72,1,10,99
54,2,10,26,14,44,21
67,0,50,1,2,42,2
3,72,38,5,3,4,11
1,82,1,61,8,2,77
19,6,6,93,3,34,46
74,2,45,5,8,72,2
20,19,87,2,0,9,2
1,88,9,20,3,2,55
1,21,1,72,17,5,110
53,3,10,28,4,34,5
72,1,52,2,17,58,1
4,62,35,11,1,5,27
1,80,2,77,2,2,98
14,5,6,57,7,17,26
70,2,49,3,3,43,3
19,20,89,2,6,17,11
1,83,9,42,3,2,76
11,24,3,103,7,4,42
78,1,11,7,12,40,2
43,2,62,1,2,68,3
3,65,39,27,7,6,65
1,77,3,76,1,2,115
39,5,2,29,10,18,5
81,2,40,1,15,35,1
9,12,97,2,1,18,33
2,100,11,58,3,2,87
1,14,3,90,1,13,21
54,2,23,9,5,36,3
72,19,58,1,6,35,20
6,85,19,17,2,2,79
1,21,2,75,9,2,46
17,2,14,28,2,20,2
73,0,58,3,5,59,3
22,68,39,5,10,10,58
1,79,3,67,1,1,113
2,7,5,105,4,19,5
52,1,50,4,2,37,0
77,16,85,1,8,17,35
5,89,9,41,17,2,100
2,23,2,90,3,8,11
15,2,10,12,4,45,1
72,2,59,2,2,60,30
23,63,48,19,4,5,95
2,82,4,80,15,0,24
9,5,4,30,0,18,2
56,1,44,1,12,37,7
76,13,81,1,3,17,71
7,88,10,53,5,2,86
2,21,2,96,9,5,6
23,2,29,6,3,35,1
69,2,59,2,1,58,40
23,69,23,19,2,4,98
2,83,3,60,8,1,25
4,6,11,25,18,12,1
61,2,51,2,3,40,11
76,15,45,2,2,22,80
5,93,3,50,0,1,49
1,25,4,87,3,0,3
13,2,46,6,7,35,4
73,2,85,2,1,67,59
22,67,10,16,0,6,106
0,91,2,66,2,2,4
0,6,16,27,16,14,1
52,1,58,2,9,34,30
81,18,24,1,2,21,93
6,95,1,45,1,2,23
1,26,12,102,1,4,3
11,2,57,4,18,33,9
66,2,48,1,19,68,60
25,63,2,33,1,5,91
1,87,2,83,2,2,4
1,8,38,14,1,15,1
48,2,83,2,18,40,27
61,10,12,21,5,20,87
4,83,0,67,2,2,23
0,27,22,28,1,3,0
18,1,61,3,4,35,9
73,2,25,2,25,59,71
29,67,2,54,7,6,87
2,93,3,105,1,1,6
1,6,42,4,0,25,3
44,2,79,1,3,41,30
77,13,6,37,25,20,80
6,87,0,75,10,0,25
0,26,20,15,2,4,2
10,1,55,2,1,33,6
62,1,23,15,9,68,64
24,66,1,67,24,6,44
1,90,8,34,5,0,6
3,6,49,2,0,14,1
46,1,82,3,2,36,7
