HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
1,6,2,0,34,1,2
26,2,8,20,2,12,1
41,0,28,36,0,30,46
5,8,4,4,2,4,36
1,29,1,0,39,0,1
1,6,2,2,18,0,1
32,2,9,36,1,20,14
38,0,26,25,0,24,58
3,19,5,1,20,2,10
0,22,1,2,50,2,0
4,3,0,5,5,5,7
40,0,13,31,0,27,54
18,0,26,21,2,20,40
1,16,4,2,37,2,1
2,20,1,0,50,2,1
15,2,2,11,2,24,18
36,2,15,29,1,51,66
4,2,16,2,2,4,10
2,29,2,1,43,0,2
2,17,0,3,31,0,2
27,1,1,32,2,25,42
29,1,22,26,1,34,32
3,8,8,2,12,3,1
0,28,3,2,56,1,1
4,6,1,10,7,2,11
38,1,0,40,1,22,52
13,1,31,7,0,22,9
2,11,15,1,36,1,0
0,29,1,0,39,2,2
17,4,0,19,3,11,24
39,2,5,35,1,35,48
4,0,28,2,9,5,4
0,9,7,1,60,1,2
1,26,2,4,26,1,6
24,3,0,31,1,23,54
31,2,2,22,1,33,35
2,2,27,3,18,4,1
2,12,10,0,54,0,1
3,21,0,19,7,3,11
33,1,2,54,1,21,53
11,1,13,6,1,17,8
2,1,19,0,35,1,1
0,21,2,1,34,0,1
20,8,0,15,2,12,37
38,3,2,41,0,36,47
4,1,22,4,11,4,4
0,3,19,3,45,2,1
2,29,1,2,14,0,4
21,12,2,28,2,26,48
29,2,9,28,2,20,36
1,1,29,2,31,1,2
1,8,4,0,39,1,1
9,25,1,5,2,3,9
34,4,1,36,1,29,48
17,1,6,11,3,21,23
2,0,27,0,52,2,1
1,6,11,1,28,2,1
17,22,1,21,1,8,26
45,8,1,38,2,33,49
4,2,12,3,12,9,4
0,0,25,1,50,2,2
1,6,3,3,5,0,2
31,27,0,45,2,5,45
34,9,0,25,1,38,32
3,1,24,1,28,12,1
0,2,19,0,44,1,0
6,8,1,5,3,1,8
40,27,2,36,2,14,53
22,4,2,17,6,29,22
2,0,20,1,42,2,0
2,1,4,2,21,0,1
23,6,2,18,1,5,26
51,36,0,33,1,35,50
5,8,6,3,28,14,5
1,3,21,1,45,1,0
0,1,10,1,5,0,0
19,7,2,31,2,10,45
33,26,0,25,0,39,41
1,5,11,1,25,8,4
2,1,21,1,39,1,2
4,2,3,8,3,2,10
35,6,1,40,1,14,55
18,23,1,15,0,24,9
1,8,21,2,40,2,1
0,0,14,1,30,1,2
12,1,1,10,1,4,35
47,6,0,35,0,22,56
4,26,6,4,13,17,4
1,4,32,2,46,1,1
2,1,14,1,5,2,3
27,0,2,35,1,5,47
32,11,2,37,2,31,32
2,33,13,3,25,9,1
2,5,20,0,48,2,0
6,2,2,5,4,1,8
37,1,2,39,1,8,50
19,14,2,13,4,35,20
1,22,22,0,44,12,1
0,2,10,0,30,2,0
14,0,3,20,1,2,17
47,0,1,33,0,13,58
5,28,5,2,11,32,9
1,24,25,0,48,3,1
0,1,8,1,8,1,2
22,1,2,31,2,7,37
32,6,1,27,1,26,30
1,26,10,2,27,23,2
0,5,28,2,47,1,0
3,1,5,6,4,0,10
34,0,0,37,2,13,52
25,7,0,12,2,30,10
2,25,12,0,38,9,0
2,9,30,2,31,3,2
13,2,5,14,3,0,39
50,0,1,34,2,13,41
7,5,0,4,16,41,3
1,26,21,1,46,5,0
0,8,17,2,5,2,6
23,2,2,29,1,1,46
36,0,0,25,0,18,23
3,8,8,1,22,29,1
0,31,21,2,35,3,2
1,9,10,9,1,1,30
28,2,2,42,0,2,51
33,1,1,17,5,33,4
3,5,12,1,37,14,1
0,32,24,0,26,2,1
6,13,4,18,3,1,37
43,0,2,42,1,24,38
15,1,2,5,17,30,3
1,18,16,2,53,2,1
2,38,12,2,7,0,4
19,4,1,32,2,1,49
28,1,2,31,1,27,25
1,1,3,3,23,27,1
1,19,22,1,36,2,0
4,14,7,5,3,0,19
29,1,1,40,2,6,46
26,1,2,16,4,36,5
2,8,2,1,39,21,2
0,26,26,0,31,2,4
6,9,8,15,3,0,41
40,2,0,46,2,10,28
10,0,0,4,10,34,1
1,5,7,1,50,5,1
0,29,28,1,6,2,7
28,7,5,33,1,0,58
32,2,2,30,0,23,24
1,0,2,3,19,28,1
0,3,4,2,44,3,1
6,25,28,2,3,0,20
49,9,13,33,0,0,46
31,1,1,18,16,37,4
2,1,0,2,50,25,2
0,6,16,1,11,2,2
6,29,42,13,1,1,37
33,5,5,35,1,9,35
14,0,0,3,19,31,1
1,0,1,0,42,10,1
1,9,15,1,3,0,5
18,27,18,30,1,1,44
36,6,2,25,6,22,22
3,1,2,3,52,26,1
1,2,2,0,30,1,0
0,8,26,4,2,0,18
33,39,9,35,0,4,47
26,9,2,12,7,31,5
3,2,0,1,45,18,2
2,1,4,2,17,2,3
9,6,25,15,2,0,41
48,29,7,36,0,8,42
17,9,1,5,23,29,2
2,2,1,2,39,20,1
1,1,1,0,4,2,16
16,7,17,27,2,1,56
38,31,19,29,6,24,12
3,9,1,1,47,33,1
1,2,2,0,24,2,0
0,1,10,8,1,1,35
30,6,24,42,0,2,41
30,29,3,13,13,37,3
1,16,0,1,47,22,0
0,2,1,1,7,1,6
5,0,15,21,0,0,50
36,10,22,36,1,12,24
18,26,3,2,17,37,2
3,1,0,1,42,5,0
1,0,1,1,5,3,27
12,0,23,33,0,1,50
33,28,11,20,6,16,4
6,13,0,3,52,30,0
1,1,1,1,32,4,2
1,1,11,5,3,0,34
19,3,21,36,1,2,47
48,31,1,16,7,28,3
5,7,1,1,44,29,1
1,2,1,1,12,2,6
2,1,11,16,0,2,46
37,3,16,29,2,6,22
17,18,1,3,16,36,2
1,8,0,2,45,13,0
2,1,2,2,5,1,27
17,1,20,24,2,1,50
45,3,9,28,4,16,5
6,25,1,2,41,32,0
1,19,0,0,26,4,1
1,1,2,3,1,0,31
25,2,26,33,2,1,38
34,9,10,16,12,22,2
2,25,1,1,48,26,2
0,6,0,2,6,1,1
2,1,11,17,1,2,46
33,0,25,40,1,2,24
20,7,3,4,19,37,2
2,22,0,1,36,16,0
2,5,2,1,3,1,20
10,2,15,32,0,0,53
37,2,19,34,3,13,6
3,11,1,3,35,31,2
0,26,2,1,31,4,2
3,2,2,3,2,1,35
34,1,19,39,0,0,40
30,1,9,20,13,26,3
1,17,1,1,42,25,1
2,19,1,1,4,1,13
6,2,5,18,2,1,57
37,2,26,45,0,3,12
24,3,11,4,23,37,0
1,29,1,1,39,15,1
0,15,1,1,3,0,36
9,2,8,33,2,0,45
46,0,23,35,1,18,4
10,23,6,3,36,49,0
2,42,1,2,29,6,8
2,4,1,5,3,1,52
34,1,7,30,0,0,26
32,1,27,13,9,15,3
2,16,8,0,44,28,0
1,21,2,0,17,2,19
10,0,1,15,2,2,54
33,2,9,38,2,10,8
5,4,28,5,18,38,1
0,28,5,2,48,6,0
0,12,2,1,6,1,34
4,1,1,36,1,1,50
38,0,6,32,3,19,4
16,7,39,2,43,38,0
0,27,8,1,36,4,3
0,4,2,8,2,1,55
22,2,2,39,2,2,36
29,0,8,20,2,26,2
3,16,26,2,42,33,2
1,26,5,0,19,3,15
2,2,1,15,3,0,44
26,0,2,38,1,4,10
22,1,7,4,28,38,2
1,23,31,2,39,17,5
1,20,6,1,4,0,40
10,1,2,34,1,0,28
37,0,1,29,3,7,1
5,3,5,1,45,36,1
2,36,27,2,28,12,17
1,12,11,12,1,1,49
21,2,1,41,0,0,5
40,0,1,10,3,37,1
4,10,14,0,35,27,1
1,34,15,1,17,3,32
6,3,1,31,2,0,44
45,2,0,31,1,2,4
18,0,0,3,29,30,2
1,17,23,1,46,13,5
0,23,14,5,5,3,42
6,3,1,50,1,1,29
36,1,0,22,2,17,2
14,1,10,2,35,32,0
1,25,29,1,33,3,8
1,13,4,18,2,0,49
17,1,1,40,0,0,25
36,0,0,4,5,27,2
3,10,17,1,46,24,1
1,25,16,1,17,1,31
0,2,2,29,1,0,41
29,1,0,30,1,5,3
12,0,2,2,18,35,1
1,21,20,1,43,13,6
0,21,13,3,5,2,51
12,1,0,40,0,1,33
32,2,0,22,2,19,2
3,8,8,1,43,25,2
1,25,26,2,31,4,13
0,7,5,9,2,0,48
18,1,2,38,1,1,6
33,1,0,15,10,25,2
2,9,5,1,50,28,0
1,24,27,2,8,3,30
2,7,6,27,3,1,44
25,2,3,39,1,2,3
21,0,1,3,19,26,1
0,0,15,2,47,12,9
2,22,25,1,4,2,42
8,12,2,36,1,0,25
32,2,1,26,1,13,2
7,1,0,2,43,37,2
2,8,13,0,37,5,16
0,23,19,14,1,1,51
8,5,2,35,0,2,6
38,1,0,4,4,33,2
9,0,0,1,41,27,0
1,12,14,0,21,3,34
0,24,15,31,2,0,45
6,4,2,35,1,4,3
33,0,0,2,15,30,1
14,0,7,2,42,16,1
0,14,20,4,4,2,42
1,22,6,39,1,1,32
14,2,2,18,1,13,2
39,0,2,1,36,36,2
3,2,10,1,42,6,18
1,23,15,12,2,0,51
2,17,1,39,0,2,6
32,2,2,6,2,20,0
30,1,0,1,41,29,2
2,9,14,2,20,3,33
1,29,20,30,2,1,43
5,7,2,32,1,0,3
39,2,0,4,15,31,1
14,0,1,2,48,34,1
1,11,20,8,7,3,43
0,33,14,39,0,1,38
