HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
13,99,206,1,166,20,51
134,180,17,26,17,162,4
16,10,1,234,0,19,2
1,1,34,25,13,2,19
15,100,205,2,169,17,79
137,136,17,29,20,165,12
17,4,0,236,2,16,2
0,2,33,25,12,2,1
14,94,214,1,163,18,67
132,178,22,27,22,163,47
16,9,1,231,2,18,2
1,1,29,25,8,0,0
11,33,201,2,144,14,18
132,201,18,23,41,160,79
18,17,0,237,2,18,12
2,0,33,27,1,2,3
12,33,200,3,100,13,1
135,198,18,19,96,153,63
15,17,2,235,6,18,50
0,2,36,27,1,0,4
12,33,204,2,61,15,1
138,198,18,17,168,164,22
15,19,1,237,10,17,78
1,3,30,30,1,1,12
13,32,206,1,56,10,1
134,197,19,19,162,160,1
15,19,1,235,11,17,68
2,1,25,28,1,1,48
12,27,197,2,64,17,1
137,197,20,19,175,166,1
15,22,1,237,9,17,19
1,3,27,31,1,2,80
10,27,204,2,10,11,11
133,197,21,16,171,161,1
16,21,1,229,20,20,2
1,2,33,28,3,1,63
9,22,207,2,9,15,50
122,200,17,19,147,157,2
34,21,2,231,46,19,1
3,2,35,29,2,1,19
1,24,201,1,1,10,80
90,196,20,17,102,163,13
99,22,2,233,97,21,2
8,1,25,30,4,1,2
3,19,206,1,2,14,66
8,197,21,13,47,164,50
118,22,1,233,160,21,1
32,1,25,32,10,2,1
1,17,196,2,1,7,16
2,199,19,12,57,136,82
85,21,2,232,182,42,14
99,2,28,31,13,3,0
7,19,204,2,2,1,1
1,198,22,12,44,97,65
8,22,3,232,169,132,49
114,2,26,30,11,5,4
35,19,212,2,1,2,1
1,195,20,11,46,49,18
2,22,2,230,167,153,80
86,2,27,31,12,11,13
100,17,203,2,2,1,2
3,199,21,8,44,56,1
3,25,3,201,172,168,65
45,2,27,71,10,10,53
126,17,202,4,1,0,4
8,198,20,1,47,44,2
2,24,3,136,167,155,15
8,3,21,144,11,11,78
117,13,206,3,1,2,13
34,195,22,1,38,43,2
1,24,1,139,176,161,1
2,1,26,142,13,11,63
88,14,202,4,2,2,52
110,198,25,1,37,51,4
5,24,3,141,164,159,0
1,1,21,140,13,11,17
41,11,206,2,2,2,79
126,200,24,1,39,43,12
7,25,1,137,169,161,2
2,2,22,143,14,12,3
8,11,208,4,2,0,60
114,196,23,2,37,34,54
34,27,1,132,172,161,3
2,1,23,148,15,12,0
1,10,217,4,1,1,14
78,195,24,3,35,41,80
104,28,2,131,163,164,14
4,2,16,149,13,11,1
1,10,205,4,2,2,2
38,195,21,1,35,39,64
125,26,2,128,171,168,52
8,3,25,148,16,13,3
2,9,205,4,1,0,0
5,169,22,2,32,40,13
113,58,1,127,166,155,79
33,2,14,144,14,11,13
1,1,201,5,2,1,2
2,127,25,2,28,42,2
82,117,2,122,170,159,65
106,3,15,152,15,12,50
4,2,209,6,0,0,3
2,118,23,1,31,43,0
41,121,0,125,163,161,14
127,4,14,153,13,12,80
7,0,208,6,2,1,14
1,117,26,1,32,36,1
8,125,0,121,170,163,2
112,3,15,159,15,12,63
36,1,212,4,1,1,52
3,112,24,1,28,37,2
2,124,3,123,178,164,1
79,4,12,156,15,12,18
104,1,211,4,1,0,81
4,112,29,2,24,33,12
1,125,2,121,169,159,0
38,4,12,158,17,12,2
126,2,204,4,2,1,66
8,109,27,1,28,32,50
1,127,1,116,174,163,3
8,3,14,160,16,14,2
119,1,208,4,2,1,15
40,106,28,0,24,26,84
4,128,2,112,165,160,15
1,4,12,157,17,14,2
79,0,203,6,2,2,2
105,110,25,1,17,31,63
5,131,2,112,164,163,51
1,4,10,165,14,14,5
41,3,202,4,2,2,0
130,105,27,2,27,30,15
7,134,2,111,165,161,83
0,4,9,165,15,16,15
6,0,179,6,1,1,1
115,106,54,2,17,25,0
37,131,2,113,170,157,62
1,5,2,162,19,14,51
2,1,144,4,1,1,3
79,100,109,2,22,30,2
109,135,3,107,169,163,13
4,4,2,170,16,15,83
0,1,131,5,1,1,15
39,97,113,0,23,29,0
133,174,3,109,170,160,1
9,10,0,163,17,13,61
1,0,132,5,2,1,54
3,96,110,1,19,27,2
111,179,3,108,167,160,0
37,8,1,166,17,13,13
2,2,127,5,2,2,79
0,36,120,2,25,25,16
79,205,2,100,167,161,1
109,18,2,165,16,16,2
4,0,125,6,0,1,62
0,33,115,1,14,23,55
36,195,3,102,161,163,3
127,17,2,169,19,14,0
9,2,129,6,0,2,15
0,34,127,2,13,26,79
4,202,2,96,171,162,15
117,18,2,218,18,16,0
40,0,121,11,0,3,1
3,32,129,2,16,21,61
1,198,4,97,178,154,50
78,18,2,224,17,16,4
110,0,120,12,1,2,2
4,30,121,2,7,23,12
0,197,3,95,162,164,80
34,19,2,219,42,16,13
128,0,122,12,3,2,1
8,31,128,1,2,22,0
1,203,3,102,118,159,59
2,20,2,176,79,16,50
113,2,127,7,4,2,2
38,27,121,2,2,17,0
2,200,3,94,69,169,13
1,20,2,225,173,19,79
78,0,127,13,10,1,14
113,25,133,1,2,13,1
4,200,2,89,60,167,2
2,21,2,224,167,21,57
32,2,128,14,10,2,57
131,24,120,1,1,17,4
10,196,2,85,60,164,1
0,20,1,223,159,17,13
36,2,116,13,10,2,81
131,23,141,0,0,13,15
10,201,4,87,54,166,1
1,21,2,221,168,18,2
38,1,94,13,10,1,59
128,24,163,2,0,17,55
9,202,8,85,54,165,4
1,23,1,223,166,17,2
6,2,47,12,10,2,11
113,18,206,2,2,10,84
42,200,15,89,62,167,19
2,23,0,227,169,19,1
1,2,53,12,9,1,2
70,19,201,1,2,14,59
115,201,16,81,12,158,56
4,23,1,225,166,18,4
1,1,53,14,20,2,2
39,16,207,2,1,14,9
135,198,16,83,7,168,72
11,24,2,226,149,19,36
1,2,48,12,44,0,3
31,16,205,1,2,13,0
129,197,17,78,1,164,34
11,25,3,229,113,19,74
1,1,45,14,93,2,8
31,15,209,2,5,11,2
129,197,18,83,0,159,2
9,24,2,232,48,19,61
1,1,51,15,175,2,53
4,12,201,2,12,14,4
114,200,15,76,2,165,2
41,25,1,226,52,20,9
2,1,61,14,174,1,72
2,13,199,1,9,7,34
74,199,16,73,2,148,3
107,25,1,228,8,44,1
4,3,46,15,148,1,33
1,12,208,1,49,0,77
30,197,16,71,3,103,7
127,27,0,231,0,84,2
7,2,43,15,97,5,1
1,10,203,2,146,1,61
3,197,18,72,6,56,59
111,27,0,226,2,159,3
40,2,48,15,36,9,3
1,9,215,2,175,0,7
0,172,18,71,13,9,71
73,56,1,230,1,141,35
110,3,44,16,44,42,2
5,1,203,1,182,2,0
2,121,15,68,12,2,36
30,116,2,230,0,101,73
128,3,39,17,43,90,7
11,2,202,1,169,5,2
1,120,18,70,12,1,1
28,117,1,231,1,52,57
131,3,51,18,47,162,59
11,2,202,0,165,12,4
0,115,15,64,12,1,2
31,122,0,236,0,48,10
134,3,40,18,53,160,79
9,1,202,2,178,11,15
2,119,17,61,12,1,0
1,124,1,228,2,44,1
107,4,48,16,36,156,59
45,2,212,0,160,11,57
1,112,16,60,12,2,4
2,124,1,230,1,46,1
68,4,39,18,49,157,9
117,0,203,0,180,10,73
6,118,16,57,14,0,35
0,124,3,229,1,52,2
34,4,33,18,36,162,0
134,0,204,1,181,11,33
11,111,18,57,14,1,75
1,129,1,238,0,46,9
28,3,45,19,39,162,1
133,1,210,0,170,12,1
10,108,20,58,12,0,58
1,132,2,231,1,42,56
36,4,34,17,41,159,6
131,1,207,2,171,11,0
9,107,18,54,13,1,9
2,130,1,234,2,43,73
0,3,34,19,36,151,38
106,3,209,2,171,10,1
45,108,18,53,16,0,0
3,131,0,233,2,34,31
0,4,34,19,36,162,75
71,0,202,1,176,14,7
115,100,22,54,15,2,1
5,137,2,237,2,41,2
1,3,64,21,36,159,55
27,0,193,0,166,12,58
128,100,21,49,14,1,4
10,137,0,238,2,36,1
2,5,49,21,34,166,7
27,2,202,1,167,13,74
127,98,19,46,16,0,41
11,177,1,236,3,37,2
2,8,31,21,37,168,1
26,1,201,2,165,14,30
126,38,22,45,15,3,76
9,199,1,232,1,35,8
1,18,40,21,31,161,3
0,1,204,2,164,13,1
101,36,21,45,16,1,55
46,199,1,232,2,49,53
3,18,22,20,26,169,4
0,1,201,2,174,13,2
67,34,25,45,14,1,4
115,203,1,237,2,34,69
6,17,26,23,30,167,42
2,1,216,1,182,15,3
28,32,23,41,14,2,0
133,201,2,234,2,36,31
9,20,26,21,25,166,73
1,0,203,1,160,14,7
1,30,19,39,15,0,1
106,203,3,236,1,30,1
51,19,21,23,32,160,53
2,1,201,2,168,15,55
0,29,25,39,17,1,4
64,200,1,233,0,31,1
117,20,26,24,24,167,7
5,2,199,2,168,13,71
1,27,21,35,18,2,36
25,197,2,234,1,32,1
134,20,27,23,25,166,1
9,2,210,2,168,14,30
2,28,21,34,19,1,75
2,205,3,235,2,30,7
102,21,23,24,24,168,2
51,1,202,1,176,15,1
3,24,21,33,19,1,52
1,196,1,233,1,25,59
65,20,22,23,27,153,4
116,3,212,3,180,13,1
5,24,21,29,18,2,7
0,198,1,232,2,31,71
25,22,18,23,11,160,38
138,1,205,1,172,16,3
11,19,27,32,16,2,2
1,200,1,235,0,26,32
24,22,24,24,24,165,79
135,1,199,1,169,16,9
12,21,23,26,15,2,3
2,196,2,232,2,23,2
22,22,19,24,19,166,51
133,1,204,0,177,13,61
12,18,23,26,17,2,5
0,200,1,230,1,22,1
26,24,18,24,13,164,6
135,0,199,1,158,16,74
11,18,23,28,16,2,37
0,198,1,234,1,21,1
24,22,20,25,23,158,2
137,2,208,0,167,16,25
12,15,22,24,18,1,76
1,198,1,234,1,24,10
19,23,16,26,19,161,1
131,1,208,3,182,16,4
12,17,26,24,20,2,71
2,199,1,233,2,18,40
26,24,18,27,16,162,2
133,1,223,1,172,15,2
11,15,25,22,21,0,27
0,202,1,236,1,23,76
18,24,14,27,14,167,10
136,1,207,1,180,19,2
12,14,27,18,22,1,5
2,197,2,232,2,16,71
17,27,24,29,11,161,41
129,2,206,2,169,18,2
12,13,28,18,17,2,0
1,201,2,237,1,18,30
24,25,10,29,14,161,80
133,3,194,1,181,16,9
11,10,24,16,18,1,3
0,199,3,232,2,13,1
22,27,19,29,22,167,51
132,2,207,1,192,22,66
12,10,22,17,21,2,6
2,200,2,230,1,15,2
20,27,25,31,15,160,5
130,2,201,3,172,19,72
13,7,26,15,20,3,40
2,174,2,231,3,12,1
17,57,18,30,10,164,1
129,4,204,1,174,19,27
13,1,29,14,21,1,80
2,123,1,238,0,13,10
19,118,11,30,12,166,1
130,3,204,2,163,21,6
12,1,23,15,22,1,74
1,115,1,230,2,15,42
19,124,18,30,7,159,3
133,3,214,1,160,18,1
12,1,21,12,46,0,23
1,119,2,230,3,9,81
18,124,8,31,2,151,10
135,5,179,2,113,45,1
13,2,57,12,118,3,5
2,113,2,237,3,0,71
19,124,2,32,0,119,43
131,4,147,1,117,84,2
13,1,108,11,102,4,1
1,116,2,227,3,0,27
17,125,1,32,0,53,77
131,4,147,2,102,153,11
13,1,108,10,104,9,0
2,108,2,233,2,2,5
18,124,2,34,2,12,70
134,4,133,1,126,168,44
12,1,128,8,103,18,2
0,104,3,196,3,1,0
16,139,1,75,1,11,24
137,5,123,4,88,160,77
14,1,111,0,211,18,13
2,100,2,135,9,1,1
16,110,1,141,2,12,5
129,2,130,3,51,163,71
13,0,132,0,165,21,43
1,97,3,133,12,1,1
15,254,1,145,1,8,1
132,12,121,4,44,139,26
14,1,127,1,162,44,79
1,104,5,133,10,1,11
17,134,1,149,2,1,2
130,3,118,4,53,103,4
14,1,112,0,173,89,70
1,102,2,138,10,6,40
17,132,1,153,2,2,4
136,3,134,5,42,52,0
14,1,106,0,168,164,25
0,89,3,124,10,12,76
17,170,1,153,1,0,10
139,10,123,5,35,51,0
15,1,126,1,94,160,2
1,106,4,127,16,10,68
16,133,2,152,0,1,43
136,3,122,5,2,52,3
14,0,128,0,216,163,2
0,81,2,123,41,12,25
15,178,1,157,3,1,78
133,9,122,5,2,57,9
14,2,116,1,76,160,1
1,57,3,116,151,10,1
14,231,2,153,6,2,54
131,19,117,4,2,44,65
13,2,116,2,55,167,6
3,18,3,122,178,13,1
14,148,1,151,13,2,3
133,22,118,5,1,44,73
14,1,121,2,28,176,47
2,56,3,95,172,11,3
13,219,1,196,11,2,1
129,19,132,10,1,45,24
14,1,134,0,47,162,76
1,57,4,95,167,11,10
15,221,1,208,11,1,1
132,23,114,10,0,49,4
14,2,105,1,46,171,70
2,23,3,116,170,13,45
18,162,2,196,14,2,3
136,26,131,7,1,40,1
13,1,103,1,50,156,22
2,24,5,95,193,11,78
14,185,0,209,16,1,10
127,15,107,10,1,39,2
14,2,132,1,19,152,3
1,63,4,167,151,11,66
13,200,1,113,13,0,46
128,16,122,2,2,43,4
13,1,169,2,34,167,0
3,37,4,54,190,14,27
12,244,0,224,16,2,82
127,23,106,15,1,41,10
13,1,149,3,32,165,2
1,22,4,94,189,13,4
11,181,0,230,20,3,68
133,24,126,25,1,44,48
15,2,68,2,46,95,4
1,34,2,76,162,27,1
13,192,0,217,17,1,19
131,15,86,9,1,2,76
17,1,309,2,24,128,11
2,14,19,34,181,50,1
4,208,1,201,13,3,2
100,24,139,11,1,1,69
32,1,237,1,25,83,48
1,4,10,8,166,126,1
2,125,0,149,13,4,0
62,73,112,59,0,1,20
82,3,129,2,18,39,79
7,3,4,33,166,153,12
2,160,2,318,25,14,1
3,111,2,41,1,2,3
99,3,142,2,26,34,68
61,2,88,0,154,128,48
4,128,4,160,23,14,5
0,103,12,142,1,1,0
115,4,155,5,46,89,23
146,12,57,1,172,136,77
6,194,4,191,23,7,11
1,48,13,106,2,0,1
14,3,240,3,29,0,3
65,1,12,0,161,164,68
19,122,29,190,25,53,48
2,156,62,185,1,1,2
8,6,244,6,29,1,1
90,1,7,2,166,83,19
43,35,10,156,15,134,78
5,171,43,62,1,6,12
0,17,200,4,22,4,3
90,37,92,1,164,54,1
138,204,6,49,16,229,64
15,77,348,327,0,20,47
0,7,67,27,79,2,3
10,0,88,0,146,142,1
244,177,4,68,17,252,20
34,42,85,202,1,12,78
2,3,170,23,66,2,12
27,0,78,2,167,128,2
74,188,13,114,14,78,2
29,98,217,159,0,7,68
2,45,14,9,36,2,46
13,109,1,3,188,0,3
177,88,253,75,19,160,2
32,144,135,254,2,48,22
2,4,73,16,45,4,78
1,5,4,2,158,1,12
44,265,69,18,24,200,1
67,69,131,293,2,49,1
4,4,143,13,26,4,65
0,1,3,1,160,71,50
7,79,19,41,15,118,3
109,65,436,209,2,9,0
61,5,13,15,26,1,18
5,1,42,2,174,8,80
2,0,51,99,23,1,13
58,22,195,284,1,153,1
122,315,9,16,10,37,1
5,7,2,2,178,16,66
2,114,25,70,17,15,49
115,17,457,225,2,289,2
77,625,21,11,49,12,2
4,19,2,1,185,1,18
2,160,95,73,24,33,77
62,179,111,193,1,204,12
110,21,44,14,13,17,1
4,0,1,2,201,1,2
1,65,69,71,18,43,68
2,211,310,232,2,145,47
57,24,17,8,15,49,3
111,26,1,2,183,3,0
3,8,1,9,25,71,18
1,149,283,335,2,101,78
54,4,116,38,14,4,11
72,189,20,2,220,2,2
4,114,90,0,21,56,3
0,53,116,108,1,229,70
36,10,16,175,0,75,51
197,0,3,5,177,5,4
15,152,57,2,58,2,1
1,83,300,122,2,120,18
36,5,15,116,1,121,80
142,229,2,4,118,4,12
20,109,45,1,106,8,0
2,36,240,156,2,243,2
4,9,14,90,1,24,66
95,20,8,5,155,2,50
86,73,155,1,118,0,4
4,199,119,67,3,70,2
0,5,4,217,0,231,16
43,1,1,15,126,12,82
104,75,44,2,146,1,14
4,444,209,86,5,72,2
0,12,73,224,1,125,2
25,1,4,13,142,5,67
136,24,91,0,99,0,53
18,241,222,19,6,13,3
1,82,22,369,0,145,0
1,60,3,21,67,74,16
127,44,80,1,188,4,83
21,385,186,69,12,28,14
1,22,10,229,2,145,1
3,18,0,19,76,36,2
78,357,172,0,193,1,64
96,60,159,105,15,37,48
8,3,4,209,1,188,3
1,0,1,9,75,7,0
13,168,100,1,197,2,19
115,131,160,70,12,1,83
18,4,5,246,2,136,13
2,67,2,19,86,70,0
1,95,95,1,195,5,2
93,14,209,80,14,2,68
100,16,9,214,2,37,52
3,273,1,18,48,175,3
3,120,29,1,188,13,2
70,15,247,33,14,2,18
72,10,14,287,0,77,86
6,77,0,36,49,177,13
2,311,8,1,230,9,1
0,15,84,30,10,2,1
101,2,291,207,0,27,63
20,69,7,38,57,179,51
2,126,15,2,202,62,3
1,12,214,54,14,3,1
98,2,91,210,2,4,15
102,100,5,17,36,168,86
3,44,1,0,215,38,14
0,182,190,53,17,2,1
43,4,125,242,1,2,1
111,69,7,18,38,97,63
7,147,3,2,192,165,53
1,3,120,48,12,6,3
1,13,169,232,2,2,1
79,250,5,21,44,63,15
103,116,1,0,195,183,80
3,2,177,93,15,11,12
1,46,89,278,0,1,0
61,344,6,21,55,52,2
81,89,2,1,219,179,69
9,4,178,39,12,14,52
3,1,61,242,2,0,3
31,125,8,15,51,105,2
133,118,1,2,190,117,18
15,6,84,41,16,5,81
1,2,216,228,2,0,14
26,0,22,19,47,79,0
95,214,1,0,192,152,2
28,9,32,28,15,16,64
2,1,213,234,2,1,52
0,255,32,22,7,64,5
53,203,3,1,190,191,0
83,9,34,45,36,15,14
10,1,241,245,1,0,80
2,210,33,21,5,25,15
30,151,1,0,175,161,0
105,12,0,56,70,13,1
7,0,165,225,4,1,65
1,388,74,22,1,5,54
2,329,3,1,115,161,3
133,12,1,49,115,29,1
31,3,177,191,4,1,14
1,196,192,30,1,7,79
1,64,6,2,99,126,14
93,5,2,31,181,58,2
103,0,128,228,7,4,1
4,123,146,30,2,2,62
1,107,5,2,38,108,51
26,2,2,24,216,106,3
135,1,113,220,17,2,2
11,168,78,23,0,1,15
2,219,12,1,49,73,80
36,8,1,43,201,151,16
117,0,201,226,17,11,3
7,28,116,21,0,2,1
1,341,4,2,19,73,63
2,18,2,22,190,158,49
76,0,119,234,17,6,2
99,73,178,23,1,0,0
6,112,4,2,46,36,14
1,7,1,11,209,198,78
38,1,132,266,19,8,12
103,53,166,24,0,1,2
12,247,4,2,35,4,2
1,8,2,35,195,142,61
33,0,141,217,19,51,49
94,1,160,17,1,3,3
36,104,4,1,43,0,0
1,109,2,26,204,77,14
3,4,137,250,18,136,78
99,3,88,30,1,5,12
78,0,5,2,32,1,2
5,660,0,26,208,58,2
1,41,77,240,20,134,58
22,4,212,29,2,12,50
106,62,24,1,25,1,3
8,29,0,24,203,17,2
1,223,66,230,18,200,17
1,6,206,23,0,15,79
89,133,15,1,12,2,13
58,137,2,19,205,21,0
4,6,93,241,19,168,3
0,1,222,23,0,12,62
15,70,16,2,36,1,52
115,255,2,12,190,32,3
9,21,50,243,19,186,1
2,1,230,18,3,16,11
4,29,26,1,33,1,80
95,161,2,35,200,33,14
47,17,49,224,18,197,0
3,4,207,20,2,22,2
0,6,17,2,26,1,60
39,159,2,12,189,20,56
100,76,46,224,17,212,3
14,5,285,31,2,12,2
3,192,13,1,15,2,13
18,149,0,13,211,42,81
125,95,39,232,23,154,15
5,6,207,28,1,15,1
1,40,21,1,13,1,2
10,209,1,11,200,34,60
108,21,51,247,24,171,54
13,2,202,30,2,16,4
1,84,17,1,32,2,1
3,155,2,25,204,17,9
96,26,50,219,20,235,71
25,2,221,35,1,21,29
2,9,26,1,26,1,0
0,179,3,11,204,29,0
14,73,61,220,21,177,36
84,4,213,28,1,18,75
39,3,14,1,15,1,9
2,329,1,17,200,33,1
2,45,46,240,24,240,0
65,1,225,34,2,17,62
112,12,17,2,28,0,54
2,196,0,5,202,61,3
1,31,45,203,23,160,1
50,5,296,72,2,11,13
95,1,15,4,17,1,79
7,96,1,2,189,9,15
1,214,52,140,22,144,1
2,17,213,130,1,42,1
90,2,17,4,14,1,58
69,135,2,2,210,1,50
4,116,60,132,23,171,5
1,4,215,179,1,58,1
35,1,18,5,12,3,13
119,19,1,1,212,0,81
9,220,83,132,25,76,13
1,14,199,157,2,173,1
18,0,14,5,16,11,1
121,74,2,2,206,1,60
27,167,43,91,25,63,53
1,4,215,202,1,176,5
5,43,18,13,15,19,2
104,45,2,3,201,0,7
27,283,64,160,25,71,72
4,21,239,133,3,172,29
0,2,10,2,1,12,1
37,42,1,1,182,1,0
69,242,46,168,51,41,35
6,22,222,140,1,163,72
2,2,17,5,2,9,7
