feature,LD1,LD2,LD3,LD4,LD5,LD6
iem,-11.062070322750134,-7.726921852829261,7.204390304171761,6.845468143316789,0.3874983113475253,7.3893878368492025
mean,13.367738678879492,3.611146188873501,-26.054852529060234,12.883628136903484,-8.474489013249217,-22.990655247085524
mav,13.381182235213114,3.6286721127104147,-26.04590490576432,12.871391446478219,-8.437018392403061,-22.917203509544983
mavs,67.45789644723867,93.03855176387182,58.21908692218276,-64.00923147480583,205.78692668682217,402.65670236276367
rms,-11.550962831616687,-0.9491028947147526,50.09843970100775,-10.11818327792647,8.950496542250876,26.119204035843847
var,3.2072276063705445,0.42496808292860205,0.1965538337452622,0.6545314083039948,-1.6198583850382389,1.5938198765288822
std,-1.2227872923339136,-1.008607376847029,-10.533539652527056,-4.79502963378111,1.6661461834437428,-1.3455568630340478
kurtosis,0.7193986168664294,0.44437559070113214,-0.11515514179938646,0.11219984016620577,-0.040502420046047684,-0.5939336651789296
skewness,-0.5111685561932796,1.8849690956451362,1.261487719823718,0.7717037853863961,-0.48941908578797966,-0.5897474324365937
max,0.42803915436016815,-0.08002354524248559,-0.4923185625950629,-0.0007855319337887816,-0.16387296841750462,-1.447990104543982
min,-0.14470011488299944,-0.49853731696696596,0.012425127726155578,0.1812245647842376,0.4513427265254813,-0.4090659542867415
range,0.4290567550214688,-0.07623728667588262,-0.49232380893969546,-0.0021564982366775788,-0.16725819054049673,-1.4446341386534187
wl,6.927258568353479,5.614252147621293,-8.356617512942355,-9.33060709090064,-0.7815473600742767,1.9015676948622606
wamp,0.2569463274651291,1.4245844902848024,-0.2862051243582486,4.316999877215486,6.276355204685784,-0.17937917504656992
zc,8.101808653457965e-14,1.0007283470876179e-13,4.6173299993632863e-14,-5.973182796610178e-14,2.1076283393294476e-13,4.1128315063804256e-13
myopulse,0.4074801394973185,-0.7917979306826333,-0.5326834947414384,0.5459293613935049,0.6568846665177276,0.760047323776746
wamp_norm,-0.24343592972825584,-1.568869728584036,0.43918032967876364,-4.046057217152372,-6.121939729634238,0.5431700376822791
ld,-4.995090105942089,2.4327316846313893,3.688831660161181,-22.11000802733657,7.7288619012613875,17.953934336733163
aac,-76.07960599723064,-97.61938426754936,-50.039516245049846,73.74996228555658,-205.35015393113954,-404.52960838777204
dasdv,0.21474154236638515,0.18655813637224172,-0.6076951504889204,0.019529010597539836,-0.10107931183822802,0.1562734660812626
ssi,-1.0063144437302363,-0.8670867488193714,-2.861652510972423,-0.07400329977625442,0.520656084133697,-2.4883114796177215
