component,iem,mean,mav,mavs,rms,var,std,kurtosis,skewness,max,min,range,wl,wamp,zc,myopulse,wamp_norm,ld,aac,dasdv,ssi
PC1,0.2608034160842186,0.25856642574429123,0.2585670750944024,0.2814277173713548,0.29260552403237167,0.23959296452215612,0.2550749265923164,-0.018506859174562965,-0.007044903673279729,0.2912320560508502,0.002983723865090923,0.29119397986945156,0.2720678786332402,0.009785677195187312,-0.0,0.021866891700348768,0.0124608252997462,0.20736805969765093,0.2814279432700607,0.26404622274631195,0.27257233504031864
PC2,-0.241578217661825,-0.24837539172282652,-0.2483736952435999,0.18671302941043133,-0.16311860590977764,0.19543795632802743,0.23417685497153756,-0.36421255120707763,0.39347179098483615,0.136771435761145,-0.04584963584685141,0.13696910135070742,0.20422989132810399,0.054880892581521665,0.0,0.33872844783565254,0.05476666399948569,-0.31914179717727137,0.18672905780321275,-0.004707777568944679,-0.1936915719668157
PC3,0.01073084688280384,0.01972017032893057,0.019716814825744184,-0.027276179231593138,-0.003224428143398186,-0.0870872896533804,-0.07499485987474183,0.03507647163188853,0.030247874670422906,-0.028649802867510794,0.06215906061732493,-0.028930951013650782,-0.03831209004695631,0.6851237255773156,2.524354896707238e-29,0.04695765036987357,0.6855771143340657,0.048609314170569386,-0.027204355372609124,0.17675842528692648,-0.006908463399792077
PC4,0.11423784592482442,0.12851220505143715,0.12847696063695493,-0.0875852489898029,0.061924216532605325,-0.23175665563973408,-0.16597339567726746,-0.19926939432349322,0.35196331094052186,-0.013393978338074302,0.6403873009871303,-0.01631414814876948,-0.10665396231985609,-0.08759142787199226,-2.5849394142282115e-26,0.45161350639353476,-0.08653017468392667,0.20550403281084492,-0.0876843651427003,-0.018196394405183135,0.07934020972504818
PC5,-0.13767482990135987,-0.1332343256363978,-0.13327641865129913,0.09123339243002684,-0.07727644384598174,0.2730446250879675,0.13349589690690375,0.28524959490837126,-0.2577132663449419,0.03663645453227922,0.7503328468441982,0.03321053637867424,0.08078165058486975,0.01731856490390328,-0.0,-0.26864623010040983,0.016202523431580493,-0.1798006138431163,0.09101412028783998,-0.003672360744879862,-0.07582675189651239
