iem,mean,mav,mavs,rms,var,std,kurtosis,skewness,max,min,range,wl,wamp,zc,myopulse,wamp_norm,ld,aac,dasdv,ssi,label
1290465.4339209637,248.16642960018527,248.16642960018527,0.3951562227223075,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2055.282392633522,0.0,0.0,0.0,0.0,236.60150515801817,0.3953226375521296,0.6754384563354746,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4100259150697563,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2132.980340886213,0.0,0.0,0.0,0.0,236.60150515801817,0.4102674246751709,1.1303270895472306,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4456363133651965,250.17591539418103,1001.4118628126926,31.645092238966416,27.014734982579373,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2318.474021425829,0.0,0.0,0.0,0.0,236.60150515801817,0.4459461476102768,3.1255044492861246,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4611306836062634,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2398.9781876929624,0.0,0.0,0.0,0.0,236.60150515801817,0.4614306958440012,3.8609889290697,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4489019404960293,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2335.4195342454323,0.0,0.0,0.0,0.0,236.60150515801817,0.4492055268792906,3.758374029837004,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4555396349709485,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2369.979632800749,0.0,0.0,0.0,0.0,236.60150515801817,0.4558529780343814,3.786180715613513,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4557680678575791,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2371.0325939512586,0.0,0.0,0.0,0.0,236.60150515801817,0.4560555095116866,3.968223655963932,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4427945193049757,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257937,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2303.9260066393454,0.0,0.0,0.0,0.0,236.60150515801817,0.4431479143372466,3.103051151065952,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4368537241388407,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2272.3546595865164,0.0,0.0,0.0,0.0,236.60150515801817,0.4370753336384913,3.0869100076088065,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4550590569141828,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2367.095595339565,0.0,0.0,0.0,0.0,236.60150515801817,0.455298248766987,3.9766627631389895,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4368536483639719,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257937,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2272.1783340352013,0.0,0.0,0.0,0.0,236.60150515801817,0.4370414183564534,3.0869077964470995,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.446295013259297,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257937,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2321.8456297388966,0.0,0.0,0.0,0.0,236.60150515801817,0.4465946585379682,3.1288286340256035,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4072385771957594,250.17591539418103,1001.4118628126926,31.645092238966416,27.014734982579373,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2119.003924335086,0.0,0.0,0.0,0.0,236.60150515801817,0.4075791352827632,0.8696797987125345,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4612005404466308,250.17591539418103,1001.4118628126926,31.645092238966416,27.014734982579373,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2399.069454436986,0.0,0.0,0.0,0.0,236.60150515801817,0.4614482505168274,4.001755349014005,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4521956144918627,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2352.2861961944736,0.0,0.0,0.0,0.0,236.60150515801817,0.452449739602707,3.778118534571161,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4584895779123557,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2384.8326849510704,0.0,0.0,0.0,0.0,236.60150515801817,0.4587098836220562,3.855861769383444,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4646527501478151,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2416.982869599806,0.0,0.0,0.0,0.0,236.60150515801817,0.4648938006539345,4.058038872182784,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4072325213784534,250.17591539418103,1001.4118628126926,31.645092238966416,27.014734982579373,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2118.529800780484,0.0,0.0,0.0,0.0,236.60150515801817,0.4074879401385812,0.9191326521878938,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4044349067753536,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2103.896727186708,0.0,0.0,0.0,0.0,236.60150515801817,0.4046733462563392,0.8399780580982149,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4140286757838548,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2153.960326998264,0.0,0.0,0.0,0.0,236.60150515801817,0.4143028134253247,1.165937196338748,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4552659172135827,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2368.0634976827823,0.0,0.0,0.0,0.0,236.60150515801817,0.4554844196350803,3.9781502612927264,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4646970053798049,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257938,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2417.074136343829,0.0,0.0,0.0,0.0,236.60150515801817,0.4649113553267607,4.058115703328351,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4496049359630316,250.17591539418103,1001.4118628126926,31.645092238966416,27.01473498257937,-4.117245295560802,309.78198310957544,2.706619171457774e-06,309.78198040295626,2338.7973504952306,0.0,0.0,0.0,0.0,236.60150515801817,0.4498552318705964,3.761221129903867,325457540.9452455,Pronation
1290465.4339209637,248.16642960018527,248.16642960018527,0.4368537644797528,250.17591539418103,1001.4118628126928,31.64509223896642,27.01473498257937,-4.117245295560801,309.78198310957544,2.706619171457774e-06,309.78198040295626,2272.269600779224,0.0,0.0,0.0,0.0,236.60150515801817,0.4370589730292795,3.086909182809348,325457540.9452455,Pronation
449676.1381895402,86.47618042106544,86.47618042106544,0.5859750554076735,108.95183568770372,4392.372719503733,66.27497807999436,3.99893142908746,1.9881447929924088,380.4314014762904,4.330590674332439e-06,380.4313971456997,3047.2544905227846,0.0,0.0,0.0575,0.0,68.16383355222155,0.5861231949457174,1.1421016597568068,61726612.99854605,Pronation
