iem,mean,mav,mavs,rms,var,std,kurtosis,skewness,max,min,range,wl,wamp,zc,myopulse,wamp_norm,ld,aac,dasdv,ssi,label
1613424.427889831,310.2739284403521,310.2739284403521,0.5662563398326879,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,2944.79209356621,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.5664150978200058,0.96156136218333,511962106.8461103,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.571938602461962,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,2978.746237687451,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.5729459968623679,1.0250640384853391,511962106.8461103,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6315185953158063,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3287.40583763241,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6323150293580323,4.374708593145199,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6380941797164488,313.7742043517275,2184.340646750933,46.73693022387043,12.978756072058935,-0.9777797807581258,471.6207020180696,1.55630602358822e-05,471.6206864550094,3322.7301717215096,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6391094771535891,4.889714820791512,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.635616366481328,313.7742043517275,2184.340646750933,46.73693022387043,12.978756072058935,-0.9777797807581258,471.6207020180696,1.55630602358822e-05,471.6206864550094,3307.285510556112,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6361387787182365,4.884564205334306,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.639866013066491,313.7742043517275,2184.340646750933,46.73693022387043,12.978756072058935,-0.9777797807581258,471.6207020180696,1.55630602358822e-05,471.6206864550094,3329.9776814497345,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6405034971051615,4.907950859570424,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6431927896433025,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3346.8191508749355,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6437428641805992,4.655380654755136,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6361040014617646,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.9777797807581262,471.6207020180696,1.55630602358822e-05,471.6206864550094,3310.2108612903226,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6367014543739801,4.405207573676971,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6250491330736236,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3250.631579229369,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6252416963318657,4.357989864787088,511962106.8461103,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6288635446308717,313.7742043517275,2184.3406467509326,46.73693022387042,12.97875607205894,-0.9777797807581264,471.6207020180696,1.55630602358822e-05,471.6206864550094,3270.3983993887814,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.629043739063047,4.586366660704486,511962106.8461103,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6250490197101919,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.9777797807581264,471.6207020180696,1.55630602358822e-05,471.6206864550094,3249.775380685727,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6250770110955428,4.357949283266058,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6361649472761939,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.9777797807581262,471.6207020180696,1.55630602358822e-05,471.6206864550094,3309.425664595268,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6365504259656217,4.404538516284562,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.580576551551515,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3022.846623979183,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.5814284716251554,1.1868538421142576,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.632128774598126,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3288.017449197159,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6324326695897593,4.593979660823211,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6328996039455078,313.7742043517275,2184.340646750933,46.73693022387043,12.978756072058935,-0.9777797807581258,471.6207020180696,1.55630602358822e-05,471.6206864550094,3290.9504162432486,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6329968102025868,4.877019658994511,511962106.8461104,HandClose
1613424.427889831,310.2739284403521,310.2739284403521,0.6348899474415204,313.7742043517275,2184.3406467509326,46.73693022387042,12.978756072058935,-0.977779780758126,471.6207020180696,1.55630602358822e-05,471.6206864550094,3303.5749631268463,0.0,0.0,0.0432692307692307,0.0,298.4342970184998,0.6354250746541347,4.881925992162564,511962106.8461103,HandClose
